Property;Induced;Confidence;T;GoldStandard;Same;MoreSpecific;LessSpecific
militaryUnit;Agent;10000;1.0;MilitaryUnit;0;0;1
militaryUnit;Organisation;10000;1.0;MilitaryUnit;0;0;1
militaryUnit;MilitaryUnit;10000;1.0;MilitaryUnit;1;0;0
militaryUnit;Agent;10000;0.9;MilitaryUnit;0;0;1
militaryUnit;Organisation;10000;0.9;MilitaryUnit;0;0;1
militaryUnit;MilitaryUnit;10000;0.9;MilitaryUnit;1;0;0
militaryUnit;Agent;10000;0.8;MilitaryUnit;0;0;1
militaryUnit;Organisation;10000;0.8;MilitaryUnit;0;0;1
militaryUnit;MilitaryUnit;10000;0.8;MilitaryUnit;1;0;0
militaryUnit;Agent;10000;0.7;MilitaryUnit;0;0;1
militaryUnit;Organisation;10000;0.7;MilitaryUnit;0;0;1
militaryUnit;MilitaryUnit;10000;0.7;MilitaryUnit;1;0;0
militaryUnit;Agent;10000;0.6;MilitaryUnit;0;0;1
militaryUnit;Organisation;10000;0.6;MilitaryUnit;0;0;1
militaryUnit;MilitaryUnit;10000;0.6;MilitaryUnit;1;0;0
militaryUnit;Agent;10000;0.5;MilitaryUnit;0;0;1
militaryUnit;Organisation;10000;0.5;MilitaryUnit;0;0;1
militaryUnit;MilitaryUnit;10000;0.5;MilitaryUnit;1;0;0
militaryUnit;Agent;10000;0.4;MilitaryUnit;0;0;1
militaryUnit;Organisation;10000;0.4;MilitaryUnit;0;0;1
militaryUnit;MilitaryUnit;10000;0.4;MilitaryUnit;1;0;0
militaryUnit;Agent;10000;0.3;MilitaryUnit;0;0;1
militaryUnit;Organisation;10000;0.3;MilitaryUnit;0;0;1
militaryUnit;MilitaryUnit;10000;0.3;MilitaryUnit;1;0;0
militaryUnit;Agent;10000;0.2;MilitaryUnit;0;0;1
militaryUnit;Organisation;10000;0.2;MilitaryUnit;0;0;1
militaryUnit;MilitaryUnit;10000;0.2;MilitaryUnit;1;0;0
militaryUnit;Agent;10000;0.1;MilitaryUnit;0;0;1
militaryUnit;Organisation;10000;0.1;MilitaryUnit;0;0;1
militaryUnit;MilitaryUnit;10000;0.1;MilitaryUnit;1;0;0
composer;Agent;10000;1.0;Person;0;0;1
composer;Person;10000;1.0;Person;1;0;0
composer;Agent;10000;0.9;Person;0;0;1
composer;Person;10000;0.9;Person;1;0;0
composer;Agent;10000;0.8;Person;0;0;1
composer;Person;10000;0.8;Person;1;0;0
composer;Agent;10000;0.7;Person;0;0;1
composer;Person;10000;0.7;Person;1;0;0
composer;Agent;10000;0.6;Person;0;0;1
composer;Person;10000;0.6;Person;1;0;0
composer;Artist;6798;0.6;Person;0;1;0
composer;MusicalArtist;6426;0.6;Person;0;1;0
composer;Agent;10000;0.5;Person;0;0;1
composer;Person;10000;0.5;Person;1;0;0
composer;Artist;6798;0.5;Person;0;1;0
composer;MusicalArtist;6426;0.5;Person;0;1;0
composer;Agent;10000;0.4;Person;0;0;1
composer;Person;10000;0.4;Person;1;0;0
composer;Artist;6798;0.4;Person;0;1;0
composer;MusicalArtist;6426;0.4;Person;0;1;0
composer;Agent;10000;0.3;Person;0;0;1
composer;Person;10000;0.3;Person;1;0;0
composer;Artist;6798;0.3;Person;0;1;0
composer;MusicalArtist;6426;0.3;Person;0;1;0
composer;Agent;10000;0.2;Person;0;0;1
composer;Person;10000;0.2;Person;1;0;0
composer;Artist;6798;0.2;Person;0;1;0
composer;MusicalArtist;6426;0.2;Person;0;1;0
composer;Agent;10000;0.1;Person;0;0;1
composer;Person;10000;0.1;Person;1;0;0
composer;Artist;6798;0.1;Person;0;1;0
composer;MusicalArtist;6426;0.1;Person;0;1;0
dam;Animal;450;1.0;Animal;1;0;0
dam;Eukaryote;450;1.0;Animal;0;0;1
dam;Species;450;1.0;Animal;0;0;1
dam;Animal;450;0.9;Animal;1;0;0
dam;Eukaryote;450;0.9;Animal;0;0;1
dam;Species;450;0.9;Animal;0;0;1
dam;Mammal;439;0.9;Animal;0;1;0
dam;Horse;439;0.9;Animal;0;1;0
dam;Animal;450;0.8;Animal;1;0;0
dam;Eukaryote;450;0.8;Animal;0;0;1
dam;Species;450;0.8;Animal;0;0;1
dam;Mammal;439;0.8;Animal;0;1;0
dam;Horse;439;0.8;Animal;0;1;0
dam;Animal;450;0.7;Animal;1;0;0
dam;Eukaryote;450;0.7;Animal;0;0;1
dam;Species;450;0.7;Animal;0;0;1
dam;Mammal;439;0.7;Animal;0;1;0
dam;Horse;439;0.7;Animal;0;1;0
dam;Animal;450;0.6;Animal;1;0;0
dam;Eukaryote;450;0.6;Animal;0;0;1
dam;Species;450;0.6;Animal;0;0;1
dam;Mammal;439;0.6;Animal;0;1;0
dam;Horse;439;0.6;Animal;0;1;0
dam;Animal;450;0.5;Animal;1;0;0
dam;Eukaryote;450;0.5;Animal;0;0;1
dam;Species;450;0.5;Animal;0;0;1
dam;Mammal;439;0.5;Animal;0;1;0
dam;Horse;439;0.5;Animal;0;1;0
dam;Animal;450;0.4;Animal;1;0;0
dam;Eukaryote;450;0.4;Animal;0;0;1
dam;Species;450;0.4;Animal;0;0;1
dam;Mammal;439;0.4;Animal;0;1;0
dam;Horse;439;0.4;Animal;0;1;0
dam;RaceHorse;198;0.4;Animal;0;1;0
dam;Animal;450;0.3;Animal;1;0;0
dam;Eukaryote;450;0.3;Animal;0;0;1
dam;Species;450;0.3;Animal;0;0;1
dam;Mammal;439;0.3;Animal;0;1;0
dam;Horse;439;0.3;Animal;0;1;0
dam;RaceHorse;198;0.3;Animal;0;1;0
dam;Animal;450;0.2;Animal;1;0;0
dam;Eukaryote;450;0.2;Animal;0;0;1
dam;Species;450;0.2;Animal;0;0;1
dam;Mammal;439;0.2;Animal;0;1;0
dam;Horse;439;0.2;Animal;0;1;0
dam;RaceHorse;198;0.2;Animal;0;1;0
dam;Animal;450;0.1;Animal;1;0;0
dam;Eukaryote;450;0.1;Animal;0;0;1
dam;Species;450;0.1;Animal;0;0;1
dam;Mammal;439;0.1;Animal;0;1;0
dam;Horse;439;0.1;Animal;0;1;0
dam;RaceHorse;198;0.1;Animal;0;1;0
chef;Agent;54;1.0;Person;0;0;1
chef;Person;54;1.0;Person;1;0;0
chef;Agent;54;0.9;Person;0;0;1
chef;Person;54;0.9;Person;1;0;0
chef;Agent;54;0.8;Person;0;0;1
chef;Person;54;0.8;Person;1;0;0
chef;Agent;54;0.7;Person;0;0;1
chef;Person;54;0.7;Person;1;0;0
chef;Agent;54;0.6;Person;0;0;1
chef;Person;54;0.6;Person;1;0;0
chef;Chef;36;0.6;Person;0;1;0
