Property;InducedDomain;InducedRange;Confidence;T;GoldStandardDomain;GoldStandardRange;DomainSame;DomainMoreSpecific;DomainLessSpecific;RangeSame;RangeMoreSpecific;RangeLessSpecific
militaryUnit;Person;Agent;10000;1.0;MilitaryPerson;MilitaryUnit;0;0;1;0;0;1
militaryUnit;Person;Organisation;10000;1.0;MilitaryPerson;MilitaryUnit;0;0;1;0;0;1
militaryUnit;Agent;Organisation;10000;1.0;MilitaryPerson;MilitaryUnit;0;0;1;0;0;1
militaryUnit;MilitaryPerson;Agent;10000;1.0;MilitaryPerson;MilitaryUnit;1;0;0;0;0;1
militaryUnit;Agent;MilitaryUnit;10000;1.0;MilitaryPerson;MilitaryUnit;0;0;1;1;0;0
militaryUnit;Person;MilitaryUnit;10000;1.0;MilitaryPerson;MilitaryUnit;0;0;1;1;0;0
militaryUnit;MilitaryPerson;MilitaryUnit;10000;1.0;MilitaryPerson;MilitaryUnit;1;0;0;1;0;0
militaryUnit;Agent;Agent;10000;1.0;MilitaryPerson;MilitaryUnit;0;0;1;0;0;1
militaryUnit;MilitaryPerson;Organisation;10000;1.0;MilitaryPerson;MilitaryUnit;1;0;0;0;0;1
militaryUnit;Person;Agent;10000;0.9;MilitaryPerson;MilitaryUnit;0;0;1;0;0;1
militaryUnit;Person;Organisation;10000;0.9;MilitaryPerson;MilitaryUnit;0;0;1;0;0;1
militaryUnit;Agent;Organisation;10000;0.9;MilitaryPerson;MilitaryUnit;0;0;1;0;0;1
militaryUnit;MilitaryPerson;Agent;10000;0.9;MilitaryPerson;MilitaryUnit;1;0;0;0;0;1
militaryUnit;Agent;MilitaryUnit;10000;0.9;MilitaryPerson;MilitaryUnit;0;0;1;1;0;0
militaryUnit;Person;MilitaryUnit;10000;0.9;MilitaryPerson;MilitaryUnit;0;0;1;1;0;0
militaryUnit;MilitaryPerson;MilitaryUnit;10000;0.9;MilitaryPerson;MilitaryUnit;1;0;0;1;0;0
militaryUnit;Agent;Agent;10000;0.9;MilitaryPerson;MilitaryUnit;0;0;1;0;0;1
militaryUnit;MilitaryPerson;Organisation;10000;0.9;MilitaryPerson;MilitaryUnit;1;0;0;0;0;1
militaryUnit;Person;Agent;10000;0.8;MilitaryPerson;MilitaryUnit;0;0;1;0;0;1
militaryUnit;Person;Organisation;10000;0.8;MilitaryPerson;MilitaryUnit;0;0;1;0;0;1
militaryUnit;Agent;Organisation;10000;0.8;MilitaryPerson;MilitaryUnit;0;0;1;0;0;1
militaryUnit;MilitaryPerson;Agent;10000;0.8;MilitaryPerson;MilitaryUnit;1;0;0;0;0;1
militaryUnit;Agent;MilitaryUnit;10000;0.8;MilitaryPerson;MilitaryUnit;0;0;1;1;0;0
militaryUnit;Person;MilitaryUnit;10000;0.8;MilitaryPerson;MilitaryUnit;0;0;1;1;0;0
militaryUnit;MilitaryPerson;MilitaryUnit;10000;0.8;MilitaryPerson;MilitaryUnit;1;0;0;1;0;0
militaryUnit;Agent;Agent;10000;0.8;MilitaryPerson;MilitaryUnit;0;0;1;0;0;1
militaryUnit;MilitaryPerson;Organisation;10000;0.8;MilitaryPerson;MilitaryUnit;1;0;0;0;0;1
militaryUnit;Person;Agent;10000;0.7;MilitaryPerson;MilitaryUnit;0;0;1;0;0;1
militaryUnit;Person;Organisation;10000;0.7;MilitaryPerson;MilitaryUnit;0;0;1;0;0;1
militaryUnit;Agent;Organisation;10000;0.7;MilitaryPerson;MilitaryUnit;0;0;1;0;0;1
militaryUnit;MilitaryPerson;Agent;10000;0.7;MilitaryPerson;MilitaryUnit;1;0;0;0;0;1
militaryUnit;Agent;MilitaryUnit;10000;0.7;MilitaryPerson;MilitaryUnit;0;0;1;1;0;0
militaryUnit;Person;MilitaryUnit;10000;0.7;MilitaryPerson;MilitaryUnit;0;0;1;1;0;0
militaryUnit;MilitaryPerson;MilitaryUnit;10000;0.7;MilitaryPerson;MilitaryUnit;1;0;0;1;0;0
militaryUnit;Agent;Agent;10000;0.7;MilitaryPerson;MilitaryUnit;0;0;1;0;0;1
militaryUnit;MilitaryPerson;Organisation;10000;0.7;MilitaryPerson;MilitaryUnit;1;0;0;0;0;1
militaryUnit;Person;Agent;10000;0.6;MilitaryPerson;MilitaryUnit;0;0;1;0;0;1
militaryUnit;Person;Organisation;10000;0.6;MilitaryPerson;MilitaryUnit;0;0;1;0;0;1
militaryUnit;Agent;Organisation;10000;0.6;MilitaryPerson;MilitaryUnit;0;0;1;0;0;1
militaryUnit;MilitaryPerson;Agent;10000;0.6;MilitaryPerson;MilitaryUnit;1;0;0;0;0;1
militaryUnit;Agent;MilitaryUnit;10000;0.6;MilitaryPerson;MilitaryUnit;0;0;1;1;0;0
militaryUnit;Person;MilitaryUnit;10000;0.6;MilitaryPerson;MilitaryUnit;0;0;1;1;0;0
militaryUnit;MilitaryPerson;MilitaryUnit;10000;0.6;MilitaryPerson;MilitaryUnit;1;0;0;1;0;0
militaryUnit;Agent;Agent;10000;0.6;MilitaryPerson;MilitaryUnit;0;0;1;0;0;1
militaryUnit;MilitaryPerson;Organisation;10000;0.6;MilitaryPerson;MilitaryUnit;1;0;0;0;0;1
militaryUnit;Person;Agent;10000;0.5;MilitaryPerson;MilitaryUnit;0;0;1;0;0;1
militaryUnit;Person;Organisation;10000;0.5;MilitaryPerson;MilitaryUnit;0;0;1;0;0;1
militaryUnit;Agent;Organisation;10000;0.5;MilitaryPerson;MilitaryUnit;0;0;1;0;0;1
militaryUnit;MilitaryPerson;Agent;10000;0.5;MilitaryPerson;MilitaryUnit;1;0;0;0;0;1
militaryUnit;Agent;MilitaryUnit;10000;0.5;MilitaryPerson;MilitaryUnit;0;0;1;1;0;0
militaryUnit;Person;MilitaryUnit;10000;0.5;MilitaryPerson;MilitaryUnit;0;0;1;1;0;0
militaryUnit;MilitaryPerson;MilitaryUnit;10000;0.5;MilitaryPerson;MilitaryUnit;1;0;0;1;0;0
militaryUnit;Agent;Agent;10000;0.5;MilitaryPerson;MilitaryUnit;0;0;1;0;0;1
militaryUnit;MilitaryPerson;Organisation;10000;0.5;MilitaryPerson;MilitaryUnit;1;0;0;0;0;1
